"Story","Title","Result","Date","Stability","Duration (s)"
"Login to SMT application","Login to the application with valid credentials","PENDING","2022-12-13T16:51:18.918+05:30[Asia/Calcutta]","0.0","6.14"
"Login to SMT application","Login to the application with invalid credentials","PENDING","2022-12-13T16:51:25.735+05:30[Asia/Calcutta]","0.0","6.45"
